대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
나미비아,남    ,0,1,0,2,0,0,0,0,아프리카
모잠비크,남    ,0,2,2,10,4,5,0,0,아프리카
모잠비크,여    ,0,0,1,0,0,1,0,0,아프리카
부르키나파소,남    ,1,0,0,1,2,1,0,0,아프리카
부르키나파소,여    ,0,1,1,3,1,1,0,0,아프리카
차드,남    ,0,0,0,1,2,0,0,0,아프리카
말라위,남    ,1,3,1,5,1,2,2,0,아프리카
말라위,여    ,0,0,3,1,0,1,0,0,아프리카
보츠와나,남    ,0,1,0,1,2,1,1,0,아프리카
보츠와나,여    ,0,0,2,0,2,1,0,0,아프리카
감비아,남    ,0,0,1,0,0,0,0,0,아프리카
감비아,여    ,0,0,2,0,0,0,0,0,아프리카
모리타니,남    ,0,0,0,0,3,0,0,0,중동
부룬디,남    ,0,0,0,1,1,0,0,0,아프리카
부룬디,여    ,0,0,2,0,0,0,0,0,아프리카
기니비사우,남    ,0,0,0,0,0,0,0,0,아프리카
중앙아프리카공화국,남    ,0,1,2,3,1,0,0,0,아프리카
중앙아프리카공화국,여    ,1,1,2,0,0,2,0,0,아프리카
에리트레아,남    ,0,0,0,1,0,1,0,0,아프리카
에리트레아,여    ,0,0,0,0,1,0,0,0,아프리카
소말리아,남    ,0,2,0,1,2,0,0,0,아프리카
소말리아,여    ,0,0,4,0,0,0,1,0,아프리카
코모로,남    ,1,0,2,0,1,0,0,0,아프리카
코모로,여    ,0,0,2,0,0,0,0,0,아프리카
니제르,남    ,0,0,8,0,0,0,0,0,아프리카
니제르,여    ,0,2,6,0,0,0,0,0,아프리카
적도기니,남    ,0,0,0,3,4,3,0,0,아프리카
지부티,남    ,0,0,0,0,1,0,0,0,아프리카
카나리아군도,남    ,0,0,0,0,1,0,0,0,대양주
카나리아군도,여    ,0,0,0,0,2,0,0,0,대양주
