"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"260",20170517,"양천구",0.039,0.024,0.5,0.006,37,25,"2017","05","17",2017-05-17
"261",20170517,"송파구",0.036,0.031,0.5,0.005,44,19,"2017","05","17",2017-05-17
"262",20170517,"홍릉로",0.049,0.021,0.5,0.006,43,23,"2017","05","17",2017-05-17
"263",20170517,"광진구",0.034,0.035,0.5,0.006,34,14,"2017","05","17",2017-05-17
"264",20170517,"청계천로",0.045,0.027,0.6,0.007,41,23,"2017","05","17",2017-05-17
"265",20170517,"강남구",0.037,0.025,0.4,0.005,42,16,"2017","05","17",2017-05-17
"266",20170517,"성북구",0.032,0.033,0.5,0.005,38,17,"2017","05","17",2017-05-17
"267",20170517,"노원구",0.027,0.04,0.4,0.003,33,16,"2017","05","17",2017-05-17
"268",20170517,"마포구",0.038,0.03,0.5,0.005,40,23,"2017","05","17",2017-05-17
"269",20170517,"구로구",0.027,0.029,0.5,0.009,45,20,"2017","05","17",2017-05-17
"270",20170517,"성동구",0.036,0.02,0.4,0.005,46,19,"2017","05","17",2017-05-17
"271",20170517,"관악구",0.038,0.036,0.5,0.005,46,24,"2017","05","17",2017-05-17
"272",20170517,"천호대로",0.047,0.025,0.5,0.004,42,21,"2017","05","17",2017-05-17
"273",20170517,"영등포구",0.04,0.033,0.6,0.005,47,17,"2017","05","17",2017-05-17
"274",20170516,"정릉로",0.033,0.029,0.4,0.007,47,22,"2017","05","16",2017-05-16
"275",20170516,"관악구",0.025,0.04,0.3,0.004,39,17,"2017","05","16",2017-05-16
"276",20170516,"서초구",0.024,0.036,0.4,0.006,37,15,"2017","05","16",2017-05-16
"277",20170516,"종로",0.042,0.023,0.4,0.005,36,21,"2017","05","16",2017-05-16
"278",20170516,"구로구",0.018,0.033,0.4,0.008,36,15,"2017","05","16",2017-05-16
"279",20170516,"동작대로",0.049,0.019,0.5,0.006,45,NA,"2017","05","16",2017-05-16
"280",20170516,"동대문구",0.028,0.027,0.2,0.006,30,14,"2017","05","16",2017-05-16
"281",20170516,"광진구",0.026,0.038,0.5,0.005,31,12,"2017","05","16",2017-05-16
"282",20170516,"청계천로",0.043,0.023,0.6,0.007,39,19,"2017","05","16",2017-05-16
"283",20170516,"홍릉로",0.045,0.019,0.5,0.006,41,21,"2017","05","16",2017-05-16
"284",20170516,"송파구",0.028,0.032,0.5,0.004,39,17,"2017","05","16",2017-05-16
"285",20170516,"화랑로",0.043,0.018,0.5,0.005,42,NA,"2017","05","16",2017-05-16
"286",20170516,"강남대로",0.056,0.018,0.5,0.005,42,NA,"2017","05","16",2017-05-16
"287",20170516,"양천구",0.029,0.026,0.4,0.006,30,20,"2017","05","16",2017-05-16
